"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Daejeon","Total","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","288","308","338","355","404","421","391","441","451","392","346","365","442","504","415","423","471",
"Daejeon","Total","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","2044","1837","1944","2199","2647","2560","2801","2527","2550","2382","2695","2932","3073","3224","2871","2751","2539",
"Daejeon","Total","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","2165","1939","2020","2257","2734","2625","2861","2575","2617","2434","2744","3016","3154","3314","2970","2874","2676",
"Daejeon","Total","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","33","45","39","55","50","62","49","46","42","33","25","50","54","86","79","121","126",
"Daejeon","Total","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","33","45","39","56","50","62","50","46","42","33","25","50","54","87","83","124","129",
"Daejeon","Total","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","80","67","63","58","65","34","108","68","63","49","50","37","25","19","16","24","26",
"Daejeon","Total","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","83","70","63","59","69","35","110","69","68","51","51","37","25","20","16","25","27",
"Daejeon","Total","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","380","373","72","199","265","320","363","476","428","348","392","299","255","250","180","144","147",
"Daejeon","Total","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","391","378","111","203","267","328","396","483","431","349","396","300","256","252","182","145","152",
"Daejeon","Total","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","3682","3587","3396","3484","3565","3361","3452","3592","3471","3356","3346","3235","3071","3059","2717","2568","2509",
"Daejeon","Total","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","3682","3603","3397","3486","3569","3365","3456","3594","3474","3357","3382","3481","3155","3069","2786","2648","2600",
"Daejeon","Total","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","156","145","113","185","185","233","418","369","502","462","466","484","424","464","446","459","522",
"Daejeon","Total","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","161","153","113","193","194","237","434","383","515","483","486","501","444","480","472","485","565",
"Daejeon","Total","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","1271","1381","1490","1898","2089","2140","2370","2536","2434","2584","2798","2908","3147","3374","3104","3140","3200",
"Daejeon","Total","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","1272","1398","1494","1901","2095","2142","2375","2538","2439","2586","2800","2917","3157","3383","3142","3177","3317",
"Daejeon","Total","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","574","539","567","635","842","796","949","898","1023","1015","1127","1309","1458","1626","1443","1704","1902",
"Daejeon","Total","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","605","571","611","666","904","870","1037","978","1139","1115","1249","1465","1729","2101","1692","2151","2443",
"Daejeon","Total","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","1400","1383","1310","1455","1398","1339","1311","1212","1213","1218","1257","1201","1314","1243","1126","1238","1182",
"Daejeon","Total","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","1413","1398","1326","1471","1411","1354","1327","1224","1226","1230","1275","1245","1346","1259","1145","1266","1213",
"Daejeon","Total","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","228","186","199","220","227","284","303","365","344","339","348","334","321","333","315","312","414",
"Daejeon","Total","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","230","190","201","221","229","286","305","368","348","342","349","338","326","335","332","326","467",
"Daejeon","Total","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","46","72","73","87","78","78","94","94","91","108","101","119","106","89","96","90","43",
"Daejeon","Total","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","46","72","73","91","78","78","94","94","91","108","101","119","106","89","102","99","53",
"Daejeon","Total","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","3487","3355","3576","3613","3083","1722","1764","1651","1699","1732","1672","1450","1555","1507","1178","1253","1274",
"Daejeon","Total","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","3491","3374","3587","3621","3093","1723","1765","1655","1702","1735","1832","1520","1569","1512","1189","1272","1291",
"Daejeon","Total","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","5133","6006","6143","6208","6560","6353","7256","6885","6963","7005","6836","6233","5883","5748","5268","5262","5478",
"Daejeon","Total","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","5133","6009","6143","6209","6564","6355","7257","6886","6966","7006","6934","6244","5887","5751","5282","5272","5492",
"Daejeon","Total","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","202","221","237","217","264","280","353","328","933","931","1017","1052","1070","1232","1140","1175","1260",
"Daejeon","Total","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","207","234","246","224","274","284","362","336","950","947","1051","1088","1094","1268","1253","1334","1461",
"Daejeon","Total","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","871","1100","1342","1440","1636","1682","1775","1820","1808","1793","2247","2177","2313","2710","2431","2967","3299",
"Daejeon","Total","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","932","1195","1427","1553","1724","1723","1834","1866","1857","1854","2496","2464","2454","2820","2571","3281","3908",
"Daejeon","Total","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","247","280","231","197","787","773","936","886","891","876","955","978","1051","1015","869","964","951",
"Daejeon","Total","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","247","284","233","199","797","783","954","899","907","892","986","1022","1095","1055","899","999","1005",
"Daejeon","Total","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","465","515","596","755","256","272","343","352","426","411","356","492","366","395","390","506","635",
"Daejeon","Total","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","473","524","607","765","256","274","344","353","427","415","364","508","374","396","396","512","640",
"Daejeon","Total","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","28","22","12","21","22","35","30","15","5","8","4","4","1","4","2","7","8",
"Daejeon","Total","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","28","22","13","24","24","35","30","15","5","9","5","4","1","4","2","7","11",
"Daejeon","Total","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","106","108","100","154","113","122","193","160","156","123","135","102","58","66","95","133","137",
"Daejeon","Total","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","107","111","104","161","115","125","196","162","158","124","137","104","58","67","96","136","144",
"Daejeon","Total","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","688","714","580","763","764","644","692","719","615","587","654","610","555","544","443","525","525",
"Daejeon","Total","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","690","724","581","767","766","646","695","719","618","587","658","610","555","545","455","527","532",
"Daejeon","Total","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","119","99","111","104","139","140","157","144","139","150","186","129","157","153","170","149","179",
"Daejeon","Total","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","119","101","111","108","144","141","159","145","142","150","186","132","160","153","176","152","184",
"Daejeon","Total","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","523","564","582","606","717","675","720","802","799","779","809","784","820","771","770","772","764",
"Daejeon","Total","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","713","806","751","803","897","828","887","985","979","954","976","975","1007","922","928","923","920",
"Daejeon","Total","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","916","1254","1314","1453","1368","1433","1714","1620","1020","804","903","859","794","818","740","719","767",
"Daejeon","Total","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","923","1263","1319","1461","1379","1436","1719","1629","1025","808","907","862","802","829","757","735","790",
"Daejeon","Total","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","127","118","107","135","149","252","176","183","101","","","","","","","","",
"Daejeon","Total","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","130","121","109","136","155","257","176","187","102","","","","","","","","",
"Daejeon","Total",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","97","82","111","110","133","155","169","190",
"Daejeon","Total",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","101","82","112","113","137","175","182","198",
"Daejeon","Total","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","7","5","2","17","30","15","22","17","19","17","11","8","10","5","6","2","7",
"Daejeon","Total","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","7","5","2","17","31","15","22","18","19","17","11","8","10","5","7","2","8",
"Daejeon","Total","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","8689","8350","8468","8440","7531","6700","6640","6347","6013","5564","5485","5966","5446","5154","5097","4609","4376",
"Daejeon","Total","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","8878","8594","8653","8644","7649","6731","6666","6377","6031","5579","5511","6069","5489","5172","5127","4670","4428",
